元素,动态示意,梯度,示意,作用图层,Token,Value,Delay,动画类型,关键属性变化,CSS Value
弹窗反馈,,大型尺寸,,前景层,standard easing,300ms,50ms,缩放,scale：95 → 105% →100%,"(0.38, 0.00, 0.24, 1.00)"
,,,,,,200ms,50ms,透明度-淡入,opacity：0 → 100%,"(0.80, 0.00, 1.00, 1.00)"
,,中型尺寸,,前景层,standard easing,200ms,50ms,缩放,scale：95 → 105% →100%,"(0.38, 0.00, 0.24, 1.00)"
,,,,,,150ms,50ms,透明度-淡入,opacity：0 → 100%,"(0.80, 0.00, 1.00, 1.00)"
,,小型尺寸,,前景层,standard easing,150ms,50ms,缩放,scale：95 → 105% →100%,"(0.38, 0.00, 0.24, 1.00)"
,,,,,,100ms,50ms,透明度-淡入,opacity：0 → 100%,"(0.80, 0.00, 1.00, 1.00)"
弹窗关闭,,all,,前景层,ease in,50ms,0ms,透明度-淡出,opacity：100 → 0%,"(0.00, 0.00, 0.00, 1.00)"
前后进场,,半弹层,,前景层,ease out,,,,,
横向切换,,,,前景层,,,,,,
容器变换,,商卡,,前景层,standard easing,400ms,100ms,对角缩放,size: 176 → 355 | 176 → 512,"(0.38, 0.00, 0.24, 1.00)"
,,,,,,400ms,100ms,圆度,roundness: 8 → 12,"(0.38, 0.00, 0.24, 1.00)"
,,,,,ease out,400ms,100ms,位移,position: x 182→182 | y 602→564,"(0.00, 0.00, 0.00, 1.00)"
容器加载,,,,前景层,,,,,,
